2015-10-01,366
2015-10-02,343
2015-10-03,369
2015-10-04,427
2015-10-05,425
2015-10-06,431
2015-10-07,402
2015-10-08,382
2015-10-09,339
2015-10-10,340
2015-10-11,394
2015-10-12,387
2015-10-13,404
2015-10-14,372
2015-10-15,369
2015-10-16,320
2015-10-17,358
2015-10-18,406
2015-10-19,460
2015-10-20,517
2015-10-21,428
2015-10-22,368
2015-10-23,335
2015-10-24,360
2015-10-25,409
2015-10-26,443
2015-10-27,414
2015-10-28,395
2015-10-29,342
2015-10-30,313
2015-10-31,338
2015-11-01,415
2015-11-02,426
2015-11-03,408
2015-11-04,380
2015-11-05,332
2015-11-06,331
2015-11-07,351
2015-11-08,449
2015-11-09,439
2015-11-10,408
2015-11-11,350
2015-11-12,378
2015-11-13,333
2015-11-14,340
2015-11-15,426
2015-11-16,387
2015-11-17,425
2015-11-18,371
2015-11-19,309
2015-11-20,315
2015-11-21,330
2015-11-22,380
2015-11-23,373
2015-11-24,320
2015-11-25,285
2015-11-26,287
2015-11-27,281
2015-11-28,317
2015-11-29,386
2015-11-30,363
2015-12-01,362
2015-12-02,369
2015-12-03,313
2015-12-04,306
2015-12-05,352
2015-12-06,354
2015-12-07,375
2015-12-08,352
2015-12-09,351
2015-12-10,317
2015-12-11,296
2015-12-12,292
2015-12-13,349
2015-12-14,350
2015-12-15,335
2015-12-16,327
2015-12-17,281
2015-12-18,266
2015-12-19,273
2015-12-20,309
2015-12-21,305
2015-12-22,288
2015-12-23,238
2015-12-24,168
2015-12-25,242
2015-12-26,258
2015-12-27,308
2015-12-28,349
2015-12-29,327
2015-12-30,270
2015-12-31,354
2016-01-01,350
2016-01-02,352
2016-01-03,461
2016-01-04,430
2016-01-05,436
2016-01-06,449
2016-01-07,385
2016-01-08,392
2016-01-09,443
2016-01-10,463
2016-01-11,471
2016-01-12,470
2016-01-13,429
2016-01-14,393
2016-01-15,364
2016-01-16,424
2016-01-17,451
2016-01-18,431
2016-01-19,429
2016-01-20,409
2016-01-21,465
2016-01-22,432
2016-01-23,457
2016-01-24,437
2016-01-25,467
2016-01-26,468
2016-01-27,475
2016-01-28,422
2016-01-29,456
2016-01-30,451
2016-01-31,467
2016-02-01,485
2016-02-02,442
2016-02-03,457
2016-02-04,411
2016-02-05,413
2016-02-06,406
2016-02-07,442
2016-02-08,427
2016-02-09,398
2016-02-10,408
2016-02-11,408
2016-02-12,346
2016-02-13,378
2016-02-14,429
2016-02-15,405
2016-02-16,409
2016-02-17,384
2016-02-18,356
2016-02-19,379
2016-02-20,366
2016-02-21,397
2016-02-22,370
2016-02-23,385
2016-02-24,385
2016-02-25,370
2016-02-26,381
2016-02-27,391
2016-02-28,371
2016-02-29,401
2016-03-01,375
2016-03-02,335
2016-03-03,362
2016-03-04,385
2016-03-05,388
2016-03-06,399
2016-03-07,378
2016-03-08,359
2016-03-09,342
2016-03-10,309
2016-03-11,312
2016-03-12,357
2016-03-13,381
2016-03-14,361
2016-03-15,396
2016-03-16,357
2016-03-17,361
2016-03-18,345
2016-03-19,381
2016-03-20,372
2016-03-21,382
2016-03-22,384
2016-03-23,327
2016-03-24,343
2016-03-25,319
2016-03-26,377
2016-03-27,368
2016-03-28,383
2016-03-29,378
2016-03-30,320
2016-03-31,316
2016-04-01,317
2016-04-02,349
2016-04-03,389
2016-04-04,369
2016-04-05,341
2016-04-06,322
2016-04-07,350
2016-04-08,330
2016-04-09,318
2016-04-10,368
2016-04-11,442
2016-04-12,355
2016-04-13,336
2016-04-14,344
2016-04-15,337
2016-04-16,330
2016-04-17,354
2016-04-18,337
2016-04-19,319
2016-04-20,365
2016-04-21,265
2016-04-22,304
2016-04-23,321
2016-04-24,325
2016-04-25,346
2016-04-26,384
2016-04-27,349
2016-04-28,295
2016-04-29,303
2016-04-30,342
2016-05-01,372
2016-05-02,354
2016-05-03,326
2016-05-04,315
2016-05-05,281
2016-05-06,270
2016-05-07,299
2016-05-08,352
2016-05-09,327
2016-05-10,337
2016-05-11,325
2016-05-12,277
2016-05-13,288
2016-05-14,318
2016-05-15,349
2016-05-16,326
2016-05-17,307
2016-05-18,320
2016-05-19,253
2016-05-20,266
2016-05-21,281
2016-05-22,297
2016-05-23,261
2016-05-24,287
2016-05-25,269
2016-05-26,207
2016-05-27,204
2016-05-28,188
2016-05-29,221
2016-05-30,227
2016-05-31,190
2016-06-01,198
2016-06-02,182
2016-06-03,207
2016-06-04,215
2016-06-05,202
2016-06-06,198
2016-06-07,128
2016-06-08,126
